class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,habitat
p,s,f,r,f,n,f,c,n,k,p
e,f,g,e,f,n,a,c,n,e,d
p,f,f,p,f,f,a,d,b,o,u
e,k,g,n,f,a,n,w,n,n,d
e,k,g,n,f,p,d,d,b,u,m
p,k,y,w,t,n,n,w,b,y,g
p,b,g,e,t,p,n,c,n,e,u
e,k,s,p,t,n,f,d,b,y,g
e,b,f,n,t,n,d,c,b,u,p
p,c,g,b,t,s,n,c,n,y,u
p,x,f,y,t,p,a,d,n,n,g
e,f,g,c,f,a,a,d,n,u,l
p,b,s,y,f,p,n,w,n,u,w
p,x,y,c,t,s,f,w,b,e,p
p,s,y,b,f,c,f,d,n,r,w
p,k,f,b,t,y,n,w,n,g,l
e,f,g,p,t,n,d,c,b,e,w
p,s,s,u,f,s,f,c,b,n,m
p,b,f,g,f,m,a,c,b,r,p
e,k,y,n,t,n,d,c,b,w,g
e,x,f,p,f,n,n,c,n,u,l
e,c,f,u,f,n,d,c,n,b,m
p,x,g,g,t,y,f,w,n,b,d
e,b,s,p,t,n,f,d,b,w,l
p,c,y,w,t,p,a,d,b,h,p
p,c,y,g,t,y,n,w,b,e,w
p,k,s,y,f,p,d,w,b,w,l
p,x,g,g,t,f,d,w,b,y,l
p,b,s,y,f,f,d,d,n,h,d
e,s,s,r,f,a,d,w,n,k,u
p,s,g,c,t,p,a,w,b,n,g
e,c,g,y,f,n,a,d,b,r,d
p,k,y,b,t,c,a,w,n,g,l
e,s,y,w,f,n,f,c,n,e,u
p,c,g,n,f,y,a,d,n,h,w
p,x,f,r,f,p,a,d,b,e,g
p,s,y,r,t,c,n,d,b,u,p
e,f,g,e,f,n,n,w,b,n,p
e,b,g,p,t,n,n,d,n,y,u
p,f,f,p,f,p,n,c,n,p,u
e,x,s,p,t,n,a,c,n,y,p
p,f,g,g,f,s,a,d,b,w,m
e,x,f,n,f,n,f,c,n,h,w
p,x,f,c,f,c,d,w,b,u,g
e,k,y,y,t,n,d,d,b,h,g
p,f,g,p,f,n,n,c,b,n,u
p,c,y,r,t,y,f,w,b,r,w
e,x,s,y,f,f,a,d,n,y,g
e,f,s,n,t,n,d,d,b,u,m
e,c,y,r,f,n,n,d,n,o,g
p,b,y,b,f,f,n,c,b,k,u
p,c,g,n,f,c,d,d,n,u,d
p,f,g,g,t,y,d,c,n,r,l
e,f,g,p,t,n,d,w,b,u,l
e,c,s,u,f,n,a,w,b,n,u
e,c,y,w,t,p,d,w,b,w,l
e,s,f,r,t,n,f,d,n,o,d
e,x,y,e,f,n,f,w,n,p,w
p,f,f,e,f,m,d,c,b,p,g
p,x,g,w,f,m,a,c,b,g,d
e,x,g,c,f,n,n,c,n,o,u
p,b,y,c,t,c,d,c,b,o,d
p,f,f,w,t,f,d,c,b,b,d
e,x,s,u,f,n,d,c,b,w,u
e,b,g,g,t,l,f,w,b,w,u
e,s,g,n,t,l,f,d,n,n,l
e,x,y,u,t,n,n,c,n,g,p
p,x,y,y,f,f,a,w,b,h,l
p,s,s,p,f,f,d,w,b,p,u
e,f,y,c,f,l,d,c,n,y,g
e,c,s,r,f,p,d,w,b,g,w
p,s,f,c,f,y,n,c,b,u,p
p,c,s,e,t,c,d,d,n,o,u
p,f,f,r,f,f,f,c,n,w,d
p,c,g,y,f,s,a,d,n,k,w
e,k,y,y,t,n,f,w,n,n,l
p,c,g,p,f,p,d,w,n,p,d
p,s,s,b,t,y,n,c,n,e,m
e,x,s,e,t,y,f,w,n,p,u
p,x,s,w,f,y,a,w,b,n,g
e,b,f,c,t,n,n,d,b,o,m
e,s,g,p,t,l,d,c,n,p,m
e,f,g,p,t,n,d,c,b,h,l
e,b,s,b,f,n,n,d,n,b,l
e,x,y,y,t,a,f,d,n,e,w
e,x,g,e,t,l,f,d,n,u,p
e,b,y,r,t,n,n,c,b,n,u
e,s,g,e,t,n,f,d,n,b,w
e,k,s,e,t,n,a,c,n,p,p
e,c,s,c,f,p,n,d,b,n,p
p,k,g,r,t,f,a,w,n,g,m
e,k,f,u,t,n,n,c,b,e,l
e,k,f,r,f,a,a,c,b,y,d
p,s,g,p,t,f,d,c,n,p,m
p,k,s,b,t,y,d,w,n,o,u
p,c,g,e,t,m,f,w,b,h,p
e,f,y,r,f,n,n,c,n,e,p
e,b,s,p,f,l,d,d,n,u,u
p,k,f,n,f,c,n,c,n,n,w
e,k,f,y,t,n,n,c,b,o,p
e,b,g,b,t,n,a,w,n,o,l
e,b,y,g,f,y,d,w,n,o,l
p,f,s,w,f,s,f,d,n,o,p
e,x,f,p,f,n,f,d,b,g,u
p,f,g,e,f,f,f,c,n,k,d
p,x,g,b,f,p,n,c,b,h,m
e,s,s,y,t,n,f,d,b,g,p
p,c,g,r,t,p,n,c,b,e,g
p,f,g,n,t,n,d,c,b,h,l
p,c,g,g,t,y,n,d,b,o,g
e,b,f,y,t,f,f,d,b,n,d
p,f,f,n,t,s,d,d,b,n,g
e,s,y,w,t,n,f,w,b,w,g
p,b,s,b,t,s,n,d,b,n,d
e,s,s,u,t,a,n,w,n,e,p
e,s,s,c,f,n,f,d,b,b,p
p,k,s,b,t,y,d,d,b,g,g
p,b,g,g,t,p,n,w,n,e,p
p,s,s,u,t,p,a,w,n,u,g
e,k,y,u,f,p,a,c,b,b,g
e,x,s,w,f,f,a,c,n,r,w
p,k,s,c,t,f,a,c,n,r,m
p,x,g,u,t,s,f,w,b,w,w
p,k,g,p,t,f,n,d,b,r,d
e,k,g,y,t,n,d,w,b,g,m
e,c,y,u,f,n,a,d,b,n,m
p,c,g,u,f,p,f,d,b,k,u
p,b,s,y,t,f,d,d,b,g,l
e,s,y,r,f,n,f,c,b,p,p
p,c,f,w,f,f,n,w,b,e,m
p,x,g,u,f,y,a,w,b,g,l
e,c,y,u,f,y,d,c,n,b,l
e,b,f,c,t,s,d,d,n,b,w
e,f,g,n,f,a,f,c,n,n,p
p,x,f,r,f,p,f,d,n,o,w
e,f,g,e,t,l,n,c,n,n,u
e,x,y,r,t,l,d,w,b,r,g
p,s,g,y,t,s,a,c,b,y,m
e,s,g,c,t,n,a,w,b,p,d
e,s,y,w,f,n,d,d,b,p,u
e,b,y,b,t,n,d,c,n,n,d
e,c,s,c,f,n,n,c,b,r,p
p,f,s,g,t,y,a,c,b,y,u
e,f,y,y,f,l,a,c,n,b,w
p,c,g,n,t,s,f,w,b,u,l
p,b,f,g,t,f,f,w,n,b,u
e,c,y,g,f,n,a,c,b,k,m
e,k,f,w,t,a,d,w,n,u,d
e,k,s,e,t,n,d,c,n,p,u
e,s,s,b,t,n,f,w,b,y,u
p,k,y,u,t,c,d,w,b,n,l
p,f,y,p,t,p,n,w,b,e,d
e,s,g,u,t,f,d,c,b,e,w
e,f,s,g,t,l,d,c,b,b,u
e,b,s,r,t,f,d,w,n,o,d
p,x,y,p,t,f,f,d,n,r,l
e,c,f,w,t,n,d,w,n,p,m
e,x,g,b,f,n,a,c,n,e,m
e,f,y,w,f,n,f,d,b,g,g
p,c,f,y,f,p,d,c,n,g,w
p,f,g,n,f,s,d,d,b,n,g
e,b,f,g,t,p,n,d,n,r,l
e,s,g,r,f,f,d,c,b,y,g
p,c,g,w,t,p,f,w,b,y,g
e,f,g,p,t,a,d,c,b,w,p
p,k,s,g,f,f,f,c,b,w,g
e,k,y,b,t,n,a,w,n,g,w
p,f,s,r,f,c,d,w,n,u,u
e,x,s,e,f,n,f,d,n,b,m
p,s,g,e,f,p,a,d,n,g,g
p,b,y,p,f,c,f,w,n,b,d
p,b,y,n,t,f,d,c,n,u,l
p,f,y,e,f,n,f,w,b,u,d
p,b,y,g,f,f,d,w,n,e,p
e,c,g,b,t,f,f,w,b,o,d
p,b,y,n,f,y,a,c,b,k,d
p,k,f,u,t,f,d,c,b,u,p
e,f,f,b,f,n,a,d,n,u,m
p,c,s,g,f,s,d,w,b,e,m
p,b,g,g,t,c,f,w,n,g,l
p,k,s,y,t,p,a,c,n,w,l
e,s,s,n,t,y,d,w,n,n,w
e,x,y,b,f,l,a,c,b,k,w
e,b,f,n,f,n,n,d,b,n,l
e,k,f,p,f,a,a,d,n,h,p
e,s,y,c,t,n,d,d,n,h,p
e,s,y,n,t,n,f,c,b,k,l
e,k,g,e,f,n,n,c,n,p,g
p,k,f,g,t,y,n,w,n,e,d
e,k,s,y,f,a,n,d,b,y,w
e,x,s,u,f,n,a,c,n,p,g
e,f,g,y,t,a,d,d,n,p,l
e,k,f,b,t,y,a,d,n,g,l
p,f,y,p,f,f,n,d,n,e,p
p,s,s,p,t,s,n,w,n,n,g
p,x,f,u,f,p,n,c,n,h,w
e,s,f,n,t,n,a,c,n,k,m
p,x,f,n,t,s,n,c,b,e,m
e,s,y,b,t,n,f,w,b,k,u
e,c,s,b,f,n,d,w,n,y,w
e,c,y,r,f,n,n,w,b,e,m
e,k,f,n,f,a,d,w,n,b,g
e,f,f,b,f,n,a,c,n,h,p
e,s,s,p,t,n,n,w,b,y,d
p,x,s,c,t,f,f,c,b,w,g
e,b,y,g,f,l,n,d,n,y,g
e,c,y,n,f,f,f,c,b,w,m
e,c,y,r,f,a,f,d,b,b,l
p,s,f,g,t,f,d,w,b,y,u
e,b,s,e,t,n,d,d,n,w,m
p,f,g,c,t,c,a,w,n,b,m
p,f,s,y,f,f,f,c,b,p,m
e,f,s,n,f,n,f,c,n,h,u
e,k,s,y,t,n,d,w,n,b,p
e,k,g,r,f,l,a,c,b,u,w
p,s,y,n,f,p,d,d,n,y,m
e,b,g,r,t,n,d,d,b,y,p
e,s,s,w,f,a,a,d,b,k,p
e,x,s,r,t,a,f,w,b,p,d
p,b,f,b,f,s,f,d,n,g,g
e,x,s,b,f,n,a,d,n,p,l
e,b,g,y,f,l,f,d,n,e,u
p,k,g,w,t,p,a,d,n,b,l
p,f,g,r,t,p,a,d,n,r,p
p,c,y,e,f,p,d,d,b,w,p
e,b,f,y,f,n,f,w,b,o,u
p,b,y,g,t,y,f,d,n,p,l
p,c,g,b,f,f,a,w,n,o,d
e,b,y,g,f,n,d,w,n,o,g
p,f,f,g,t,p,d,w,b,n,l
e,s,f,w,f,l,f,d,n,b,m
p,c,f,y,f,f,n,d,n,r,d
e,c,f,p,f,y,a,w,n,b,l
p,f,g,y,f,y,f,w,n,u,p
e,f,s,p,t,n,f,d,b,u,u
p,c,g,r,t,f,n,c,n,r,m
e,f,g,p,t,a,n,c,n,k,p
p,s,g,n,f,s,d,c,n,k,l
p,f,g,r,t,m,d,d,b,h,u
e,s,y,p,f,n,d,w,n,w,m
p,f,f,e,f,y,d,c,b,e,l
p,c,s,g,f,s,a,w,n,p,m
e,b,s,r,t,l,n,d,n,b,g
e,x,s,g,f,y,f,w,n,h,g
p,c,g,u,f,f,d,c,n,y,d
e,x,f,y,f,l,f,d,n,w,u
e,f,f,p,t,n,a,w,b,r,g
e,f,s,g,f,n,d,d,n,w,p
e,b,s,p,t,n,a,c,b,u,l
e,f,g,g,t,a,d,c,n,h,m
e,x,s,e,f,a,f,c,n,b,m
p,c,g,c,f,f,a,d,n,e,w
p,c,s,e,t,y,d,d,n,e,g
e,s,f,b,t,n,f,c,n,u,m
p,b,f,p,t,f,f,d,n,o,m
p,x,f,e,t,f,f,d,b,u,l
p,f,y,n,f,y,d,c,n,w,u
e,k,s,p,f,l,f,c,n,e,w
e,b,y,w,t,n,f,w,b,r,m
p,b,f,y,t,y,d,c,n,h,g
p,k,s,y,t,m,a,d,n,g,g
p,c,y,b,f,f,f,w,n,e,w
p,s,f,n,t,s,d,d,b,y,u
e,c,f,b,t,n,a,w,b,n,m
e,c,s,r,t,y,f,d,n,b,m
e,k,s,p,t,n,d,w,n,g,m
e,f,g,n,t,l,n,w,n,b,u
p,f,s,u,t,f,d,d,n,b,g
e,s,f,g,t,y,f,w,b,u,m
e,s,g,w,t,n,a,d,n,h,w
p,x,g,p,f,p,a,d,b,h,m
e,x,s,w,f,n,a,w,b,k,w
p,c,f,n,f,m,f,c,b,y,d
p,k,y,g,t,s,f,c,b,o,w
p,s,f,b,f,f,a,c,b,e,p
e,b,f,p,t,n,a,d,n,u,l
e,f,s,g,f,n,a,d,n,y,u
e,k,y,w,t,n,a,c,n,p,l
e,s,g,c,f,n,d,d,n,y,u
e,x,y,n,f,s,f,c,b,n,d
p,s,s,n,t,s,n,d,n,r,l
e,f,f,w,f,y,a,d,n,e,p
p,s,f,w,f,y,d,d,n,e,l
e,f,y,r,f,l,n,c,b,g,d
p,k,y,b,f,p,n,w,n,p,m
p,s,s,w,t,y,a,d,n,k,l
e,s,y,e,t,a,a,d,n,u,l
e,x,s,y,t,n,d,c,b,u,g
p,k,g,y,t,n,a,c,b,w,u
p,b,y,p,t,p,n,d,n,y,l
p,f,f,u,f,c,a,d,n,o,w
e,k,y,p,t,a,d,w,n,p,m
e,k,f,r,t,n,d,d,b,u,m
p,b,g,g,t,p,d,d,n,g,u
p,k,g,u,t,y,d,d,b,w,p
e,f,y,g,t,n,d,w,n,n,u
p,c,s,y,t,s,a,d,b,k,d
e,c,f,y,f,y,f,w,n,g,d
e,x,g,y,f,n,d,c,b,p,d
e,b,y,w,t,y,f,d,b,e,m
e,x,g,r,t,n,a,d,b,h,p
p,c,y,e,t,p,d,d,n,h,p
e,b,f,p,f,n,f,d,b,h,d
e,k,y,g,t,n,f,w,n,p,d
p,k,f,c,f,f,n,c,n,o,g
p,f,g,p,f,y,f,c,b,w,d
p,s,f,n,t,f,n,w,b,k,w
p,c,f,b,f,f,n,w,b,e,l
e,k,s,u,f,n,f,w,n,r,w
p,b,g,g,t,f,n,w,n,h,w
p,s,f,r,f,f,f,d,b,n,g
p,s,s,y,f,p,n,d,n,b,l
e,k,s,n,t,l,d,w,b,h,g
e,x,f,b,t,n,d,d,b,e,p
p,x,y,g,f,f,d,d,n,o,l
e,x,f,e,t,l,f,c,b,k,d
p,s,y,y,t,f,f,d,b,k,d
p,x,f,g,t,s,a,c,n,b,m
p,x,g,c,t,f,f,d,n,n,p
p,s,s,c,f,f,a,c,b,b,d
p,f,f,r,t,f,a,c,n,b,u
e,x,f,c,t,n,d,c,b,w,p
e,f,f,e,t,l,f,c,n,k,m
p,f,y,r,t,f,f,w,b,r,d
e,k,g,u,f,s,a,d,n,p,g
e,s,g,e,f,n,a,w,n,g,l
e,b,f,r,f,y,f,d,n,k,g
p,x,s,e,f,f,a,w,b,w,w
e,b,s,c,f,n,f,d,n,e,d
p,c,f,u,t,p,f,w,b,w,g
e,f,y,e,f,n,n,w,b,o,l
e,c,s,u,t,l,a,c,b,w,g
p,f,g,b,f,y,d,w,b,e,w
e,x,s,e,t,a,f,c,n,u,d
p,c,s,p,f,f,a,c,b,y,m
p,s,f,y,t,p,a,w,n,o,d
p,k,s,c,f,p,a,d,b,u,w
e,c,f,g,t,l,f,w,n,e,d
p,f,g,u,f,y,f,c,n,u,u
p,s,s,c,t,m,f,c,b,n,l
p,f,f,n,f,n,a,w,n,p,g
e,b,f,p,t,f,d,w,b,y,l
p,c,g,c,t,p,n,w,n,o,w
p,k,s,y,f,y,d,w,b,y,g
p,x,y,p,t,f,f,d,b,o,m
e,b,s,y,f,y,f,c,b,n,p
e,c,f,c,t,p,f,w,n,k,u
e,b,f,p,t,n,d,w,n,h,d
e,c,g,g,f,n,d,w,n,o,u
e,x,g,g,t,f,f,c,n,r,l
e,x,y,y,t,n,n,c,b,e,u
p,k,y,y,t,f,n,c,n,n,g
e,b,f,b,f,p,a,w,n,o,w
p,k,y,g,f,c,d,c,n,e,m
e,c,y,g,t,y,n,w,n,w,d
e,x,y,u,f,n,f,w,b,u,w
e,x,s,r,f,n,d,d,n,n,m
e,f,s,e,f,a,a,d,n,e,d
p,f,f,u,t,p,a,d,b,w,d
p,k,s,y,f,y,d,c,n,g,w
e,b,y,w,t,f,f,d,b,w,l
e,c,y,e,f,y,n,c,n,n,g
e,k,y,w,t,n,d,w,n,k,u
p,x,s,n,t,f,f,d,n,w,g
p,x,g,y,t,f,d,d,b,o,d
e,x,y,c,t,n,a,c,b,n,u
p,c,y,r,f,f,d,c,b,r,d
p,k,g,w,f,p,f,d,n,o,d
e,c,g,e,f,n,f,c,n,k,d
e,s,f,y,f,f,a,c,b,w,g
p,x,f,u,f,y,f,c,n,y,u
p,f,s,b,t,p,f,w,b,u,u
p,k,g,p,t,s,a,d,b,r,d
p,f,f,g,f,p,f,c,n,n,m
e,k,y,r,f,p,f,c,n,k,p
p,x,f,r,f,p,d,w,b,k,p
p,f,y,g,t,m,d,w,b,n,w
e,f,y,g,t,n,d,w,n,y,l
p,k,y,g,t,p,d,w,n,u,d
p,s,s,b,f,p,n,d,b,n,w
e,s,g,n,t,s,d,d,n,k,p
e,f,s,b,f,n,d,c,b,h,d
e,f,f,u,f,n,d,d,n,u,l
p,x,f,n,t,p,a,c,b,y,m
e,k,g,p,f,n,d,d,n,p,l
p,k,g,g,f,p,n,d,n,o,d
p,b,f,b,t,n,n,d,n,p,p
e,k,g,c,t,y,n,c,n,n,u
p,x,g,u,f,f,f,c,n,g,l
p,f,y,p,f,f,a,w,b,y,d
e,b,s,p,f,a,d,c,n,y,p
e,f,s,e,f,a,d,w,n,o,p
p,k,s,e,f,s,f,c,b,k,u
p,c,y,p,f,s,a,c,n,r,d
e,f,y,n,f,a,f,d,b,o,g
e,s,g,y,f,n,n,c,n,p,d
e,k,g,u,f,l,f,d,n,g,p
p,s,y,e,t,f,a,c,b,p,m
e,x,y,r,f,n,f,w,b,e,d
e,s,f,g,t,l,a,c,n,w,w
p,k,y,u,f,p,f,d,n,k,u
e,b,y,p,t,a,a,d,b,h,g
p,s,s,p,t,y,d,d,b,w,u
e,c,f,c,f,n,n,d,n,r,w
p,c,s,y,t,y,a,c,n,h,l
e,c,s,g,t,a,f,d,b,g,p
p,s,f,r,t,f,f,d,b,w,p
p,x,f,w,t,s,n,c,n,y,u
e,c,f,e,f,l,d,d,b,w,l
e,f,g,c,t,n,d,w,n,n,w
e,x,f,p,f,f,d,w,n,o,u
e,k,s,y,t,f,a,d,b,u,m
p,b,f,n,t,c,n,w,n,o,p
p,x,g,c,f,s,a,d,b,k,p
e,b,s,y,t,n,a,c,n,n,m
p,x,f,u,f,p,a,w,b,y,g
p,k,f,u,f,s,a,w,b,w,w
p,b,s,b,f,f,f,c,b,p,p
e,x,s,c,t,l,f,w,n,k,w
e,b,f,u,t,a,f,d,b,n,u
e,c,g,p,f,n,a,d,n,g,g
p,c,s,u,f,p,d,w,n,r,g
e,s,y,y,t,n,f,c,n,k,u
e,c,f,w,t,n,n,d,b,k,w
e,f,s,e,f,f,f,d,n,n,m
p,c,s,p,t,p,a,w,n,b,g
e,c,f,g,f,a,a,c,n,u,p
e,k,f,y,t,n,a,d,n,b,l
e,b,f,w,f,a,f,c,n,p,g
e,b,g,u,t,n,d,w,b,r,m
p,c,y,r,t,s,a,w,b,e,u
e,b,s,b,t,l,n,d,n,g,p
e,x,f,w,t,f,a,c,b,u,l
p,s,f,u,f,f,d,c,b,p,g
e,c,g,w,t,a,d,w,n,w,m
e,s,y,w,f,l,d,w,b,b,l
p,c,s,y,f,f,a,w,b,o,l
e,f,y,r,f,n,n,w,b,h,p
e,s,y,u,t,l,n,w,b,p,d
e,x,f,r,f,l,a,d,n,o,p
e,c,f,c,f,n,f,d,b,b,g
p,c,f,y,f,f,f,c,b,o,g
p,b,g,e,f,p,n,d,n,r,l
p,c,g,e,f,y,f,d,b,r,m
e,s,g,w,t,a,f,d,n,w,l
e,s,f,p,t,n,n,c,b,e,w
p,c,f,b,t,p,f,d,b,b,m
p,c,f,c,t,s,f,c,b,h,p
e,c,y,y,t,l,a,c,b,h,m
e,f,g,p,t,a,f,d,n,r,m
e,x,g,n,f,n,n,d,n,u,p
e,s,y,b,f,n,a,d,b,g,u
e,f,s,e,f,n,n,w,n,p,w
e,b,y,e,t,n,a,c,n,g,l
p,k,y,p,f,n,n,c,b,r,g
p,c,f,c,f,p,d,w,n,r,m
e,s,s,b,t,n,a,w,n,h,g
e,b,y,p,t,n,a,d,n,e,w
p,s,s,n,t,f,a,w,b,e,g
e,k,s,y,t,n,n,w,b,g,l
p,c,f,p,t,p,d,w,b,h,u
e,s,s,w,f,n,a,c,b,n,u
p,c,f,u,f,f,d,w,b,n,w
e,k,g,w,t,n,f,d,b,p,w
e,f,y,b,t,a,a,c,b,h,u
e,k,f,r,t,a,f,c,b,u,u
e,k,f,w,t,l,a,w,n,y,p
e,s,y,u,t,n,d,w,n,r,g
p,x,f,w,f,c,f,w,b,y,g
e,c,s,p,f,a,n,w,b,y,w
e,s,f,u,t,n,a,d,b,g,d
e,c,f,y,t,n,a,w,n,o,w
p,f,s,r,t,y,d,d,b,r,d
p,f,y,p,t,p,n,w,n,h,w
p,x,f,n,f,f,a,w,b,e,p
e,x,g,n,t,l,f,d,b,u,d
p,x,y,b,t,f,n,w,n,r,l
p,f,g,g,t,p,n,c,n,b,m
p,k,g,w,f,y,d,d,n,h,u
e,s,g,u,f,a,f,d,n,h,u
e,c,f,p,t,f,f,c,b,p,p
e,c,s,n,t,s,a,d,n,g,d
e,s,f,r,f,n,a,w,b,p,u
p,b,g,g,t,y,n,d,b,w,p
e,f,g,r,f,l,n,d,n,p,m
e,f,s,w,t,n,d,c,b,r,d
p,x,y,c,f,p,n,d,b,g,g
p,s,g,g,f,n,d,w,b,n,u
e,b,f,e,t,a,d,d,n,k,l
p,b,g,c,t,f,f,d,n,o,p
e,f,g,c,f,l,f,c,n,e,d
p,x,y,w,t,n,n,c,b,y,w
p,c,s,r,t,s,n,d,b,e,m
p,x,g,y,t,y,f,w,n,w,d
p,c,y,n,t,m,n,c,n,o,l
p,f,y,u,f,n,f,c,n,n,g
e,x,g,u,f,y,a,w,n,b,l
e,b,g,p,f,n,n,c,b,w,p
p,s,s,p,t,s,d,d,b,p,u
e,k,f,c,t,a,a,c,b,y,g
e,b,f,c,t,n,a,w,b,h,p
p,s,s,y,t,p,n,d,n,g,m
p,c,y,w,f,s,f,w,n,o,l
e,f,y,n,t,f,d,w,b,p,l
e,x,s,u,f,f,f,w,n,k,g
e,f,f,y,t,n,n,w,b,o,g
e,f,y,u,f,n,f,c,n,b,m
e,c,f,e,t,n,n,c,n,g,m
p,f,y,p,f,c,n,c,b,y,g
e,x,f,e,t,n,d,c,b,y,d
e,b,s,n,f,l,n,d,b,k,p
e,f,f,n,t,a,d,c,b,w,p
p,x,y,w,t,m,a,w,b,b,g
e,x,y,g,t,n,f,d,n,g,l
e,c,y,c,t,a,n,c,n,k,d
e,f,g,p,f,p,f,c,n,n,w
p,c,g,y,f,s,f,d,b,b,u
p,b,y,w,f,f,d,c,b,p,m
e,b,s,y,t,n,f,w,b,g,p
e,s,y,g,t,l,f,w,n,g,u
e,x,s,w,t,n,f,w,n,b,l
e,f,y,r,t,l,n,w,n,u,m
e,s,y,u,f,a,f,c,n,u,p
e,x,s,c,f,s,a,w,n,y,p
e,f,f,c,f,n,d,c,b,y,l
e,c,g,c,f,l,a,c,n,n,l
e,b,y,e,f,n,d,c,b,p,p
p,s,s,p,t,p,f,c,b,k,p
e,s,s,w,f,n,d,d,n,g,u
e,b,g,w,f,l,n,d,n,o,l
e,c,g,e,f,l,n,d,n,p,w
p,k,f,n,f,f,a,w,n,p,l
p,k,y,p,t,y,n,c,b,r,u
e,k,g,g,t,l,f,c,b,o,l
e,f,f,g,t,l,a,w,b,h,g
e,s,y,c,f,a,a,d,n,e,d
e,c,y,w,f,s,a,c,b,o,m
e,f,s,b,f,f,n,w,b,o,g
p,f,g,n,t,y,d,d,b,u,d
p,c,f,y,t,y,n,w,b,w,w
p,f,f,c,t,p,a,w,b,n,l
e,s,s,g,f,l,d,c,b,w,u
p,c,f,g,t,p,a,d,b,p,p
p,k,f,p,t,s,a,d,b,u,l
e,k,y,n,t,n,d,c,n,b,p
e,f,g,n,f,y,d,d,b,p,m
e,b,s,b,f,l,a,w,n,k,d
e,c,g,g,t,n,a,w,n,e,g
e,x,f,u,t,n,n,w,b,g,m
p,x,f,p,t,f,n,c,b,k,p
e,f,f,w,t,l,n,d,b,k,d
p,b,g,u,f,s,f,c,n,r,m
e,c,s,r,f,a,a,c,b,g,p
p,k,s,p,t,f,n,c,b,g,g
e,f,y,y,t,n,a,c,n,n,p
p,c,s,w,t,p,f,d,b,e,g
e,c,y,n,t,n,n,w,b,u,l
e,c,f,w,t,n,n,w,n,y,p
p,b,s,p,f,f,a,w,n,g,m
e,c,y,g,f,n,a,d,b,b,d
p,b,y,r,f,s,d,d,b,w,u
p,b,g,n,t,c,d,d,b,o,m
e,s,f,u,t,n,n,w,n,r,w
e,c,s,e,f,a,d,d,n,w,d
p,s,s,r,t,f,n,w,n,r,u
e,k,s,b,f,a,a,w,b,g,m
p,s,y,e,t,m,d,c,n,h,p
p,s,s,y,f,f,n,d,b,r,l
e,c,s,u,f,n,a,c,n,o,w
e,k,s,y,t,n,n,d,b,y,p
p,f,f,w,t,p,f,d,n,p,g
e,x,f,g,t,a,d,c,b,n,l
e,f,y,w,f,n,f,d,n,h,d
e,b,g,g,f,n,a,d,b,w,w
e,f,s,c,t,f,n,d,n,o,p
e,x,s,c,f,n,n,w,b,b,l
e,x,y,y,f,n,a,w,n,g,g
p,k,s,b,f,m,f,d,n,e,w
e,f,g,y,t,n,n,c,b,o,u
e,b,y,c,f,f,f,w,b,u,d
p,s,f,e,t,n,f,w,n,r,w
p,s,g,e,t,f,f,d,n,n,d
p,b,s,b,f,p,d,w,b,u,d
e,k,g,b,f,a,f,c,n,r,l
p,s,f,b,t,c,d,c,n,e,l
e,k,y,y,f,n,f,c,b,y,g
e,s,g,u,f,l,f,c,n,n,w
e,s,y,p,t,p,d,w,b,k,p
e,f,y,n,t,l,n,w,b,y,u
p,k,s,b,f,m,n,c,b,h,l
e,x,s,n,f,l,a,w,n,n,l
p,b,y,u,t,m,a,d,n,y,l
p,s,f,p,f,f,n,d,n,o,l
p,x,y,b,t,s,a,d,n,w,w
e,c,f,b,t,l,n,d,b,o,g
p,x,g,b,t,y,a,d,b,b,l
e,b,y,e,t,n,n,c,n,w,u
e,c,g,u,t,a,d,w,b,e,g
p,f,y,n,f,f,a,c,n,k,w
e,c,g,g,f,n,d,c,n,n,l
e,k,f,g,t,n,d,c,b,p,w
p,b,g,u,t,n,d,w,n,h,u
e,k,g,b,t,n,d,d,b,b,m
p,x,s,g,t,c,d,c,b,e,m
e,f,y,n,t,n,f,w,n,o,u
e,b,y,g,t,a,d,c,b,e,l
e,f,y,n,f,a,a,w,b,h,l
e,s,y,b,t,a,d,c,n,n,g
e,b,s,b,t,l,a,d,b,b,l
p,k,f,y,f,s,d,w,n,h,g
e,x,g,c,f,l,a,c,b,k,l
p,c,g,e,t,y,d,d,b,p,w
e,f,f,p,t,l,n,d,n,w,p
e,b,g,p,t,n,f,w,n,p,p
p,b,s,w,t,f,a,d,b,g,u
p,s,y,e,t,c,a,w,n,r,d
e,f,y,b,t,f,d,w,b,h,d
p,c,s,p,f,y,a,d,b,w,d
p,x,y,n,t,m,d,d,n,b,w
e,b,g,w,t,l,f,w,b,b,d
p,b,f,g,f,y,n,d,b,h,p
e,f,f,g,t,n,n,w,n,r,d
p,f,g,w,f,n,f,d,n,n,m
p,b,f,c,f,s,d,w,n,r,m
p,b,f,r,f,y,d,d,n,p,d
e,s,y,n,t,a,f,d,b,u,d
e,b,g,p,f,a,a,c,b,h,g
p,k,s,c,f,p,a,c,b,g,m
e,b,f,n,t,a,a,w,b,p,l
e,x,g,y,f,a,f,c,b,e,g
p,x,s,p,f,s,n,c,b,n,w
e,s,s,y,f,y,n,w,n,e,p
e,c,y,b,t,s,n,d,n,n,d
